题目,答案
"只有非零值才重要的二元属性被称作：     
A.计数属性 
B.离散属性 
C.非对称的二元属性 
D.对称属性   ",C
"以下哪种方法不属于特征选择的标准方法：
A.嵌入 
B.过滤 
C.包装 
D.抽样",D
"假设属性income的最大最小值分别是12000元和98000元。利用最大最小规范化的方法将属性的值映射到0至1的范围内。对属性income的73600元将被转化为：          
A.0.821 
B.1.224 
C.1.458 
D.0.716  ",D
在有关数据仓库测试，下列说法不正确的是：                                  A.在完成数据仓库的实施过程中，需要对数据仓库进行各种测试.测试工作中要包括单元测试和系统测试.B.当数据仓库的每个单独组件完成后，就需要对他们进行单元测试. C.系统的集成测试需要对数据仓库的所有组件进行大量的功能测试和回归测试. D.在测试之前没必要制定详细的测试计划.,D
"OLAP技术的核心是：                    
A.在线性 
B.对用户的快速响应 
C.互操作性 
D.多维分析",D
"下面选项中t不是s的子序列的是：        
A.s=<{2，4}，{3，5，6}，{8}>t=<{2}，{3，6}，{8}> 
B.s=<{2，4}，{3，5，6}，{8}>t=<{2}，{8}> 
C.s=<{1，2}，{3，4}> t=<{1}，{2}> 
D.s=<{2，4}，{2，4}> t=<{2}，{4}>",C
"以下哪个算法是分类算法？
A.DBSCAN 
B.C4.5 
C.K-Mean 
D.EM",B
"如果规则集R中不存在两条规则被同一条记录触发，则称规则集R中的规则为：       
A.无序规则 
B.穷举规则 
C.互斥规则 
D.有序规则",C
"考虑两队之间的足球比赛：队0和队1。假设65%的比赛队0胜出，剩余的比赛队1获胜。队0获胜的比赛中只有30%是在队1的主场，而队1取胜的比赛中75%是主场获胜。如果下一场比赛在队1的主场进行队1获胜的概率为：                            
A.0.75 
B.0.35 
C.0.4678 
D.0.5738",C
"BIRCH是一种： 
A.分类器 
B.聚类算法 
C.关联分析算法 
D.特征选择算法  ",B
"(   )将两个簇的邻近度定义为两个簇合并时导致的平方误差的增量，它是一种凝聚层次聚类技术。                     A.MIN(单链) 
B.MAX(全链) 
C.组平均 
D.Ward方法",D
"如果规则集中的规则按照优先级降序排列，则称规则集是： 
A.无序规则 
B.穷举规则 
C.互斥规则 
D.有序规则 ",D
"为数据的总体分布建模；把多维空间划分成组等问题属于数据挖掘的哪一类任务？ 
A.探索性数据分析 
B.建模描述 
C.预测建模 
D.寻找模式和规则",B
"建立一个模型，通过这个模型根据已知的变量值来预测其他某个变量值属于数据挖掘的哪一类任务？                     A.根据内容检索 
B.建模描述 
C.预测建模 
D.寻找模式和规则",C
"熵是为消除不确定性所需要获得的信息量，投掷均匀正六面体骰子的熵是：
A.1比特 
B.2.6比特 
C.3.2比特 
D.3.8比特",B
"在抽样方法中，当合适的样本容量很难确定时，可以使用的抽样方法是：
A.有放回的简单随机抽样 
B.无放回的简单随机抽样 
C.分层抽样 
D.渐进抽样",D
"关于基本数据的元数据是指：            
A.基本元数据与数据源，数据仓库，数据集市和应用程序等结构相关的信息
B.基本元数据包括与企业相关的管理方面的数据和信息
C.基本元数据包括日志文件和简历执行处理的时序调度信息
D.基本元数据包括关于装载和更新处理，分析处理以及管理方面的信息",D
"关于OLAP和OLTP的区别描述，不正确的是： 
A.OLAP主要是关于如何理解聚集的大量不同的数据.它与OTAP应用程序不同.
B.与OLAP应用程序不同，OLTP应用程序包含大量相对简单的事务
C.OLAP的特点在于事务量大，但事务内容比较简单且重复率高
D.OLAP是以数据仓库为基础的，但其最终数据来源与OLTP一样均来自底层的数据库系统，两者面对的用户是相同的",C
"下列(    )不是将主观信息加入到模式发现任务中的方法。                       
A.与同一时期其他数据对比 
B.可视化 
C.基于模板的方法 
D.主观兴趣度量",A
"以下哪个分类方法可以较好地避免样本的不平衡问题： 
A.KNN 
B.SVM 
C.Bayes 
D.神经网络",A
"在基于规则分类器的中，依据规则质量的某种度量对规则排序，保证每一个测试记录都是由覆盖它的“最好的”规格来分类，这种方案称为：
A.基于类的排序方案 
B.基于规则的排序方案 
C.基于度量的排序方案 
D.基于规格的排序方案",B
"在基本K均值算法里，当邻近度函数采用(  )的时候，合适的质心是簇中各点的中位数.                                  A.曼哈顿距离 
B.平方欧几里德距离 
C.余弦距离 
D.Bregman散度",A
"寻找数据集中的关系是为了寻找精确、方便并且有价值地总结了数据的某一特征的表示，这个过程包括了以下哪些步骤？   
A.决定要使用的表示的特征和结构 
B.决定如何量化和比较不同表示拟合数据的好坏 
C.选择一个算法过程使评分函数最优 
D.决定用什么样的数据管理原则以高效地实现算法",ABCD
"数据挖掘的预测建模任务主要包括哪几大类问题？ 
A.分类 
B.回归 
C.模式发现 
D.模式匹配",AB
"Apriori算法的计算复杂度受(    )影响。
A.支持度阀值 
B.项数(维度) 
C.事务数 
D.事务平均宽度",ABCD
"在现实世界的数据中，元组在某些属性上缺少值是常有的。描述处理该问题的各种方法有：                             A.忽略元组 
B.使用一个全局常量填充空缺值 
C.使用属性的平均值填充空缺值 
D.使用与给定元组属同一类的所有样本的平均值 
E.使用最可能的值填充空缺值",ABCDE
"下面列出的条目中，哪些是数据仓库的基本特征：
A.数据仓库是面向主题的 
B.数据仓库的数据是集成的 
C.数据仓库的数据是相对稳定的 
D.数据仓库的数据是反映历史变化的 
E.数据仓库是面向事务的  ",ACD
"数据挖掘算法的组件包括：
A.模型或模型结构 
B.评分函数 
C.优化和搜索方法 
D.数据管理策略",ABCD
"下面属于维归约常用的线性代数技术的有：                                 
A.主成分分析 
B.特征提取 
C.奇异值分解  
D特征加权 
E.离散化",AC
"非频繁模式____ 
A.其支持度小于阈值 
B.都是不让人感兴趣的 
C.包含负模式和负相关模式 
D.对异常数据项敏感",AD
"以下属于分类器评价或比较尺度的有：    
A.预测准确度 
B.召回率 
C.模型描述的简洁度 
D.计算复杂度",ABD
"簇有效性的面向相似性的度量包括：      
A.精度 
B.Rand统计量 
C.Jaccard系数 
D.召回率",BC 
"对于数据挖掘中的原始数据，存在的问题有：
A.不一致 
B.重复 
C.不完整 
D.含噪声 
E.维度高",ABCDE
"下列属于不同的有序数据的有：         
A.序列数据 
B.时间序列数据 
C.事务数据 
D.空间数据",ABD
"下面属于数据集的一般特性的有：
A.连续性 
B.维度 
C.稀疏性 
D.分辨率 
E.相异性",BCD
"数据仓库在技术上的工作过程是：
A.数据的抽取 
B.存储和管理 
C.数据的表现 
D.数据仓库设计 
E.数据的表现",ABCD
"在评价不平衡类问题分类的度量方法有如下哪几种？                           
A.F1度量 
B.召回率(recall) 
C.精度(precision) 
D.真正率(ture positive rate，TPR)",ABCD
寻找模式和规则主要是对数据进行干扰，使其符合某种规则以及模式。,错
噪声和伪像是数据错误这一相同表述的两种叫法。,错
可视化技术对于分析的数据类型通常不是专用性的。,错
DSS主要是基于数据仓库.联机数据分析和数据挖掘技术的应用。,对
Web日志的聚类分析：是把具有相似特征的用户或数据项归类，在网站管理中通过聚类具有相似浏览行为的用户。,对
关联规则挖掘过程是发现满足最小支持度的所有项集代表的规则。,错
利用先验原理可以帮助减少频繁项集产生时需要探查的候选项个数。,对
分类模型的误差大致分为两种：训练误差(training error)和泛化误差(generalization error).,对
K均值是一种产生划分聚类的基于密度的聚类算法，簇的个数由算法自动地确定。,错
给定由两次运行K均值产生的两个不同的簇集，误差的平方和最大的那个应该被视为较优。,对
